지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
277,1972.01.03, ,영덕,포항기상대(138),36.5333,129.4094,40.61,41.960,1.700,10.000,0.600
278,1973.01.01, ,의성,대구(구 143),36.3561,128.688,81.81,83.300,1.700,10.000,0.600
279,1973.01.01, ,구미,대구(구 143),36.130,128.320,48.88,50.380,1.700,10.000,1.400
281,1972.01.21, ,영천,대구(구 143),35.9774,128.9514,93.8,95.200,1.700,10.000,0.500
283,2010.08.06, ,경주시,포항기상대(138),35.8175,129.2009,39.21,40.710,1.670,10.000,0.590
284,2011.03.04, ,거창,울산기상대(152),35.6674,127.909,225.95,227.300,1.500,10.000,1.300
284,1972.01.24,20110304,거창,거창기상대(284),35.6712,127.911,221.4,222.600,1.500,10.000,0.500
285,1973.01.01, ,합천,울산기상대(152),35.565,128.1699,32,33.200,1.500,10.000,0.500
288,1973.01.01, ,밀양,울산기상대(152),35.4915,128.7441,11.21,12.500,2.000,10.000,1.300
289,1972.03.30, ,산청,창원기상대(155),35.413,127.8791,138.07,138.800,1.600,10.000,0.600
294,1972.01.24, ,거제,부산지방기상청(159),34.8882,128.6045,45.4,46.700,1.700,10.000,0.600
295,1972.01.24, ,남해,부산지방기상청(159),34.8166,127.9264,45.71,47.010,1.800,10.000,0.800
